PName,Yseason,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,VHI,SMCI,EVI,GNDVI,SAVI,SR,EDI,TCI,albedo,Yield,CWP,ETa,LST
CP57,LS2022,0.48396665,0.4702222,0.45281665,0.47655,0.46835557,0.49671665,0.5269,0.50223887,0.5465278,0.19875555,0.10364445,0.48108335,0.3592611,-0.000118144,0.14150287,-0.08568029,0.05934016,0.055396263,0.03693387,0.044497706,0.008281988,0.34701505,1.6292053,7.0453434,23.124763,38.47
CP58,LS2022,0.46905,0.46041113,0.44146665,0.46071665,0.45803887,0.49116665,0.52524443,0.49643887,0.54898887,0.19022222,0.10349445,0.48064443,0.36184443,-0.001937346,0.13826953,-0.15571094,0.06852559,0.07258389,0.048392836,0.04909254,0.008211797,0.29462713,3.5163584,5.8488874,60.121166,38.47
CP59,LS2022,0.50211113,0.4769278,0.46561665,0.48971665,0.4837222,0.51825557,0.5551,0.51496113,0.5762722,0.19905555,0.10342778,0.4851222,0.36484443,0.008093813,0.14875832,2.6177948,0.060700487,0.054104026,0.036072176,0.03884088,-0.00175191,0.21667345,4.6976665,5.0432854,93.15126,38.47
CP60,LS2022,0.49739443,0.48776113,0.46968335,0.48895557,0.48095,0.5183278,0.5525722,0.5280222,0.57596113,0.19561666,0.10341666,0.4881722,0.3639611,0.02609014,0.17093977,-1.1247537,0.07175986,0.08506951,0.05671766,0.059519634,0.012894288,0.30778825,2.7215925,6.3587794,42.803795,38.47
CP61,LS2022,0.4987778,0.48846665,0.47391113,0.49295,0.49065557,0.5302778,0.56563887,0.53886665,0.58740557,0.19716666,0.10335555,0.49836113,0.37285557,0.02852711,0.1714275,-1.6612045,0.08258488,0.101153016,0.06744084,0.06198716,0.012092559,0.29230013,2.8934246,6.2476206,46.338207,38.85
CP62,LS2022,0.4912278,0.4798278,0.4709,0.5039778,0.49953335,0.54259443,0.58338335,0.5462278,0.60831665,0.19613889,0.10335555,0.5220278,0.38834443,0.007422986,0.15290636,-1.1611894,0.09736134,0.08853308,0.05902636,0.055511244,0.005381761,0.34665743,1.5197054,7.1079893,21.380745,38.85
CP63,LS2022,0.49988887,0.48023335,0.4706,0.50190557,0.49728335,0.54949443,0.5910722,0.55626113,0.6181,0.20381111,0.10342222,0.52583887,0.38580557,0.015341545,0.17071426,-0.061582968,0.11214895,0.11823932,0.07883228,0.07700154,0.011480512,0.389394,0.7053838,7.552331,9.339949,38.85
CP64,LS2022,0.50936665,0.5003722,0.49618335,0.54714443,0.53976665,0.58721113,0.62998335,0.59213335,0.65536113,0.20710557,0.10343334,0.57785,0.43578887,-0.000423369,0.13894594,-0.32180482,0.1139343,0.07977618,0.053187363,0.057052795,0.007207516,0.4337588,0.6998046,7.4923916,9.340203,38.85
CP65,LS2022,0.50109443,0.4834778,0.4773,0.51456113,0.51075557,0.56241113,0.6057,0.56855557,0.63313887,0.20246111,0.10344445,0.54473887,0.40396667,0.008267768,0.15691268,2.2365298,0.112046055,0.102286324,0.06819552,0.066809475,0.008350739,0.36915576,0.7102987,7.5910964,9.356945,38.04
CP66,LS2022,0.50326665,0.49779443,0.4893722,0.52720557,0.52351113,0.56724443,0.60706113,0.57748887,0.62831665,0.20269445,0.10353889,0.54554443,0.4023111,0.01437135,0.16349024,0.03017536,0.1102058,0.09777158,0.065185405,0.062934004,0.013461017,0.3188764,2.9314634,6.2338257,47.04943,38.04
CP67,LS2022,0.4888778,0.4761722,0.46766665,0.50434443,0.49751665,0.54198887,0.5798722,0.54463335,0.60204443,0.20120555,0.10359445,0.51595,0.38292778,0.01632544,0.16100125,-0.42882228,0.092696175,0.07490158,0.049937896,0.05600569,0.006873319,0.23323034,4.4735146,5.2005653,86.02105,38.04
